timestamp,value
2026-07-01T00:00:00Z,0.0446
2026-07-02T00:00:00Z,0.0493
2026-07-03T00:00:00Z,0.0524
2026-07-04T00:00:00Z,0.0494
2026-07-05T00:00:00Z,0.0505
2026-07-06T00:00:00Z,0.0453
2026-07-07T00:00:00Z,0.0492
2026-07-08T00:00:00Z,0.0488
2026-07-09T00:00:00Z,0.0529
2026-07-10T00:00:00Z,0.0505
2026-07-11T00:00:00Z,0.0499
2026-07-12T00:00:00Z,0.0477
2026-07-13T00:00:00Z,0.0474
2026-07-14T00:00:00Z,0.0500
2026-07-15T00:00:00Z,0.0541
2026-07-16T00:00:00Z,0.0441
2026-07-17T00:00:00Z,0.0412
2026-07-18T00:00:00Z,0.0563
2026-07-19T00:00:00Z,0.0551
2026-07-20T00:00:00Z,0.0521
2026-07-21T00:00:00Z,0.0512
2026-07-22T00:00:00Z,0.0488
2026-07-23T00:00:00Z,0.0489
2026-07-24T00:00:00Z,0.0463
2026-07-25T00:00:00Z,0.0520
2026-07-26T00:00:00Z,0.0494
2026-07-27T00:00:00Z,0.0440
2026-07-28T00:00:00Z,0.0485
2026-07-29T00:00:00Z,0.0483
2026-07-30T00:00:00Z,0.0480
2026-07-31T00:00:00Z,0.0562
2026-08-01T00:00:00Z,0.0535
2026-08-02T00:00:00Z,0.0401
2026-08-03T00:00:00Z,0.0516
2026-08-04T00:00:00Z,0.0535
2026-08-05T00:00:00Z,0.0543
2026-08-06T00:00:00Z,0.0541
2026-08-07T00:00:00Z,0.0468
2026-08-08T00:00:00Z,0.0574
2026-08-09T00:00:00Z,0.0563
2026-08-10T00:00:00Z,0.0622
2026-08-11T00:00:00Z,0.0606
2026-08-12T00:00:00Z,0.0559
2026-08-13T00:00:00Z,0.0680
2026-08-14T00:00:00Z,0.0598
2026-08-15T00:00:00Z,0.0687
2026-08-16T00:00:00Z,0.0680
2026-08-17T00:00:00Z,0.0664
2026-08-18T00:00:00Z,0.0449
2026-08-19T00:00:00Z,0.0494
2026-08-20T00:00:00Z,0.0492
2026-08-21T00:00:00Z,0.0515
2026-08-22T00:00:00Z,0.0514
2026-08-23T00:00:00Z,0.0572
2026-08-24T00:00:00Z,0.0534
2026-08-25T00:00:00Z,0.0538
2026-08-26T00:00:00Z,0.0464
2026-08-27T00:00:00Z,0.1120
2026-08-28T00:00:00Z,0.0530
2026-08-29T00:00:00Z,0.0532
